date,cash,daily_pnl,holding_pnl,margin,market_value,realized_pnl,total_value,transaction_cost
2017-02-27,983638.334,-4200.0,-4200.0,12771.0,-323475.0,0.0,992209.334,0.0
2017-02-28,979270.334,-75.0,-75.0,12939.0,-323550.0,0.0,992134.334,0.0
2017-03-01,994743.288,2608.954,0.0,0.0,0.0,2625.0,994743.288,16.046
2017-03-02,981842.181,358.894,375.0,12885.0,-321750.0,0.0,995102.181,16.106
2017-03-03,1004911.585,9809.404,0.0,0.0,0.0,9825.0,1004911.585,15.596
2017-03-06,1004911.585,0.0,0.0,0.0,0.0,0.0,1004911.585,0.0
2017-03-07,1004911.585,0.0,0.0,0.0,0.0,0.0,1004911.585,0.0
2017-03-08,1004911.585,0.0,0.0,0.0,0.0,0.0,1004911.585,0.0
2017-03-09,1004911.585,0.0,0.0,0.0,0.0,0.0,1004911.585,0.0
2017-03-10,1004911.585,0.0,0.0,0.0,0.0,0.0,1004911.585,0.0
2017-03-13,1004911.585,0.0,0.0,0.0,0.0,0.0,1004911.585,0.0
2017-03-14,992764.42,809.835,825.0,12132.0,304125.0,0.0,1005721.42,15.165
2017-03-15,1005331.232,-390.188,0.0,0.0,0.0,-375.0,1005331.232,15.188
2017-03-16,1005331.232,0.0,0.0,0.0,0.0,0.0,1005331.232,0.0
2017-03-17,1005331.232,0.0,0.0,0.0,0.0,0.0,1005331.232,0.0
2017-03-20,1005331.232,0.0,0.0,0.0,0.0,0.0,1005331.232,0.0
2017-03-21,992889.7,59.468,75.0,12426.0,310725.0,0.0,1005390.7,15.532
2017-03-22,992961.7,1950.0,1950.0,12429.0,312675.0,0.0,1007340.7,0.0
2017-03-23,994833.7,-450.0,-450.0,12507.0,312225.0,0.0,1006890.7,0.0
2017-03-24,994401.7,0.0,0.0,12489.0,312225.0,0.0,1006890.7,0.0
2017-03-27,1009649.95,2759.25,0.0,0.0,0.0,2775.0,1009649.95,15.75
2017-03-28,1009649.95,0.0,0.0,0.0,0.0,0.0,1009649.95,0.0
2017-03-29,1009649.95,0.0,0.0,0.0,0.0,0.0,1009649.95,0.0
2017-03-30,997019.181,209.231,225.0,12615.0,-315150.0,0.0,1009859.181,15.769
2017-03-31,997253.181,675.0,675.0,12606.0,-314475.0,0.0,1010534.181,0.0
2017-04-05,997955.181,-1200.0,-1200.0,12579.0,-315675.0,0.0,1009334.181,0.0
2017-04-06,996707.181,375.0,375.0,12627.0,-315300.0,0.0,1009709.181,0.0
2017-04-07,997097.181,-3000.0,-3000.0,12612.0,-318300.0,0.0,1006709.181,0.0
2017-04-10,1013443.604,6734.422,0.0,0.0,0.0,6750.0,1013443.604,15.578
2017-04-11,1013443.604,0.0,0.0,0.0,0.0,0.0,1013443.604,0.0
2017-04-12,1013443.604,0.0,0.0,0.0,0.0,0.0,1013443.604,0.0
2017-04-13,1013443.604,0.0,0.0,0.0,0.0,0.0,1013443.604,0.0
2017-04-14,1013443.604,0.0,0.0,0.0,0.0,0.0,1013443.604,0.0
2017-04-17,1013443.604,0.0,0.0,0.0,0.0,0.0,1013443.604,0.0
2017-04-18,1013443.604,0.0,0.0,0.0,0.0,0.0,1013443.604,0.0
2017-04-19,1013443.604,0.0,0.0,0.0,0.0,0.0,1013443.604,0.0
2017-04-20,1013443.604,0.0,0.0,0.0,0.0,0.0,1013443.604,0.0
2017-04-21,1013443.604,0.0,0.0,0.0,0.0,0.0,1013443.604,0.0
2017-04-24,1013443.604,0.0,0.0,0.0,0.0,0.0,1013443.604,0.0
2017-04-25,1013443.604,0.0,0.0,0.0,0.0,0.0,1013443.604,0.0
2017-04-26,1013443.604,0.0,0.0,0.0,0.0,0.0,1013443.604,0.0
2017-04-27,1013443.604,0.0,0.0,0.0,0.0,0.0,1013443.604,0.0
2017-04-28,1013443.604,0.0,0.0,0.0,0.0,0.0,1013443.604,0.0
2017-05-02,1013443.604,0.0,0.0,0.0,0.0,0.0,1013443.604,0.0
2017-05-03,1013443.604,0.0,0.0,0.0,0.0,0.0,1013443.604,0.0
2017-05-04,1013443.604,0.0,0.0,0.0,0.0,0.0,1013443.604,0.0
2017-05-05,1013443.604,0.0,0.0,0.0,0.0,0.0,1013443.604,0.0
2017-05-08,1013443.604,0.0,0.0,0.0,0.0,0.0,1013443.604,0.0
2017-05-09,1013443.604,0.0,0.0,0.0,0.0,0.0,1013443.604,0.0
2017-05-10,1001731.982,-464.621,-450.0,11697.0,291975.0,0.0,1012978.982,14.621
2017-05-11,1023238.87,10259.888,0.0,0.0,0.0,10275.0,1023238.87,15.112
2017-05-12,1023238.87,0.0,0.0,0.0,0.0,0.0,1023238.87,0.0
2017-05-15,1023238.87,0.0,0.0,0.0,0.0,0.0,1023238.87,0.0
2017-05-16,1010893.458,209.588,225.0,12330.0,-308025.0,0.0,1023448.458,15.413
2017-05-17,1011127.458,-300.0,-300.0,12321.0,-308325.0,0.0,1023148.458,0.0
2017-05-18,1010815.458,-900.0,-900.0,12333.0,-309225.0,0.0,1022248.458,0.0
2017-05-19,1024258.098,2009.64,0.0,0.0,0.0,2025.0,1024258.098,15.36
2017-05-22,1024258.098,0.0,0.0,0.0,0.0,0.0,1024258.098,0.0
2017-05-23,1011840.595,-90.502,-75.0,12402.0,-310125.0,0.0,1024167.595,15.503
2017-05-24,1027002.231,2834.636,0.0,0.0,0.0,2850.0,1027002.231,15.364
2017-05-25,1014611.763,509.531,525.0,12375.0,-308850.0,0.0,1027511.763,15.469
2017-05-26,1015157.763,300.0,300.0,12354.0,-308550.0,0.0,1027811.763,0.0
2017-05-31,1015469.763,450.0,450.0,12342.0,-308100.0,0.0,1028261.763,0.0
2017-06-01,1016999.058,1019.295,0.0,12282.0,307050.0,1050.0,1029281.058,30.705
2017-06-02,1016999.058,-1950.0,-1950.0,12282.0,305100.0,0.0,1027331.058,0.0
