date,buy_avg_open_price,buy_margin,buy_pnl,buy_quantity,contract_multiplier,last_price,margin,margin_rate,order_book_id,sell_avg_open_price,sell_margin,sell_pnl,sell_quantity,symbol
2017-03-22,4142.0,12429.0,2025.0,5,15.0,4169.0,12429.0,0.04,AG88,0.0,0.0,-0.0,0,白银主力连续
2017-03-23,4142.0,12507.0,1575.0,5,15.0,4163.0,12507.0,0.04,AG88,0.0,0.0,-0.0,0,白银主力连续
2017-03-24,4142.0,12489.0,1575.0,5,15.0,4163.0,12489.0,0.04,AG88,0.0,0.0,-0.0,0,白银主力连续
2017-03-27,4142.0,0.0,0.0,0,15.0,4182.0,0.0,0.04,AG88,0.0,0.0,-0.0,0,白银主力连续
2017-03-30,0.0,0.0,0.0,0,15.0,4202.0,12615.0,0.04,AG88,4205.0,12615.0,225.0,5,白银主力连续
2017-03-31,0.0,0.0,0.0,0,15.0,4193.0,12606.0,0.04,AG88,4205.0,12606.0,900.0,5,白银主力连续
2017-04-05,0.0,0.0,0.0,0,15.0,4209.0,12579.0,0.04,AG88,4205.0,12579.0,-300.0,5,白银主力连续
2017-04-06,0.0,0.0,0.0,0,15.0,4204.0,12627.0,0.04,AG88,4205.0,12627.0,75.0,5,白银主力连续
2017-04-07,0.0,0.0,0.0,0,15.0,4244.0,12612.0,0.04,AG88,4205.0,12612.0,-2925.0,5,白银主力连续
2017-04-10,0.0,0.0,0.0,0,15.0,4195.0,0.0,0.04,AG88,4205.0,0.0,0.0,0,白银主力连续
2017-05-10,3899.0,11697.0,-450.0,5,15.0,3893.0,11697.0,0.04,AG88,0.0,0.0,-0.0,0,白银主力连续
2017-05-11,3899.0,0.0,0.0,0,15.0,4023.0,0.0,0.04,AG88,0.0,0.0,-0.0,0,白银主力连续
2017-05-16,0.0,0.0,0.0,0,15.0,4107.0,12330.0,0.04,AG88,4110.0,12330.0,225.0,5,白银主力连续
2017-05-17,0.0,0.0,0.0,0,15.0,4111.0,12321.0,0.04,AG88,4110.0,12321.0,-75.0,5,白银主力连续
2017-05-18,0.0,0.0,0.0,0,15.0,4123.0,12333.0,0.04,AG88,4110.0,12333.0,-975.0,5,白银主力连续
2017-05-19,0.0,0.0,0.0,0,15.0,4089.0,0.0,0.04,AG88,4110.0,0.0,0.0,0,白银主力连续
2017-05-23,0.0,0.0,0.0,0,15.0,4135.0,12402.0,0.04,AG88,4134.0,12402.0,-75.0,5,白银主力连续
2017-05-24,0.0,0.0,0.0,0,15.0,4122.0,0.0,0.04,AG88,4134.0,0.0,0.0,0,白银主力连续
2017-05-25,0.0,0.0,0.0,0,15.0,4118.0,12375.0,0.04,AG88,4125.0,12375.0,525.0,5,白银主力连续
2017-05-26,0.0,0.0,0.0,0,15.0,4114.0,12354.0,0.04,AG88,4125.0,12354.0,825.0,5,白银主力连续
2017-05-31,0.0,0.0,0.0,0,15.0,4108.0,12342.0,0.04,AG88,4125.0,12342.0,1275.0,5,白银主力连续
2017-06-01,4094.0,12282.0,0.0,5,15.0,4094.0,12282.0,0.04,AG88,4125.0,0.0,0.0,0,白银主力连续
2017-06-02,4094.0,12282.0,-1950.0,5,15.0,4068.0,12282.0,0.04,AG88,4125.0,0.0,0.0,0,白银主力连续
