date,估多概率,估空概率,振荡概率
2017-05-04,0.004310874734073877,0.0010164931882172823,0.9946725964546204
2017-05-05,0.006401222199201584,0.0007471382268704474,0.9928515553474426
2017-05-08,0.02791111171245575,0.0022689446341246367,0.9698198437690735
2017-05-09,0.2291974127292633,0.005372690502554178,0.7654299139976501
2017-05-10,0.6538537740707397,0.0033347110729664564,0.34281155467033386
2017-05-11,0.00041177868843078613,0.0003027631901204586,0.9992853999137878
2017-05-12,0.0015786424046382308,0.043890297412872314,0.9545310735702515
2017-05-15,0.0027989521622657776,0.2904033660888672,0.70679771900177
2017-05-16,0.02396288514137268,0.5528884530067444,0.4231486916542053
2017-05-17,0.062185175716876984,0.879994809627533,0.057819996029138565
2017-05-18,0.17545823752880096,0.5811547040939331,0.24338702857494354
2017-05-19,0.17134323716163635,0.33720919489860535,0.4914475083351135
