code,time,class,lowpoint,percentage_rise,second_exist,gap_time,percentage_second_burst,max_retracement
600423,20150320,2,6.5,0.47,1,30,0.5,0.09
600438,20150511,2,11.72,0.62,1,9,0.25,0.1
600466,20131119,1,4.8,0.33,1,211,2.14,0.32
600478,20120607,2,8.49,0.36,0,,0,0
600481,20150402,3,5.78,0.45,1,19,0.9,0.08
600483,20150428,2,12.52,0.34,1,19,0.47,0.19
600487,20150119,2,6.42,0.18,1,40,1.01,0.16
600490,20110425,2,2.72,0.44,1,39,0.19,0.15
600503,20150506,2,7.32,3.23,0,,0,0
600522,20150525,2,19.9,0.77,0,,0,0
600537,20130918,2,11.53,0.32,1,213,0.24,0.37
600552,20150401,2,20.91,0.33,1,21,0.42,0.14
600571,20141210,2,21.56,0.47,1,22,1.17,0.25
600576,20140825,2,5.85,0.57,1,122,2.73,0.26
600580,20130109,2,4.12,0.33,0,,0,0
600584,20150521,2,19.68,0.44,1,6,0.15,0.12
600597,20150609,2,21.52,0.33,0,,0,0
600603,20150126,2,8.67,0.13,1,26,0.73,0.18
600606,20140318,1,5.71,0.96,1,172,0.69,0.38
600623,20150324,2,15.82,0.96,1,37,0.36,0.26
600637,20141124,2,35.08,0.21,1,67,0.84,0.15
600645,20110322,2,11.76,1.12,0,,0,0
600677,20150525,2,19.82,1.17,0,,0,0
600685,20141103,2,18.84,0.61,1,17,1.59,0.16
600687,20150309,2,9.72,0.28,1,19,0.82,0.11
600695,20110324,2,6.77,0.21,1,20,0.22,0.16
600701,20150513,2,6.68,4.57,0,,0,0
600704,20150213,2,11.27,1.41,1,27,0.59,0.21
600705,20141222,2,10.19,0.88,1,9,0.82,0.19
600711,20120229,2,4.87,0.1,0,,0,0
600714,20150318,2,12.34,0.33,1,47,0.25,0.18
600716,20150112,2,8.62,0.41,1,39,0.46,0.16
600725,20150421,2,5.52,1.15,1,23,0.18,0.3
600728,20130321,2,9.48,0.35,1,31,0.4,0.2
600744,20141027,2,3.33,0.53,1,86,2.05,0.16
600748,20150429,2,16.56,0.11,1,19,0.24,0.22
600749,20150325,2,13.4,0.43,1,4,0.66,0.14
600765,20150609,2,33.8,0.19,0,,0,0
